Sample_Name,values
Acizzia_jucunda,0.3071863919521136
Acizzia_uncatoides,0.2941791999654819
Atmetocranium_myersi,0.7801840312185959
Casuarinicola_australis,0.28659731172204417
Casuarinicola_sp,0.2453736532310299
Ctenarytaina_eucalypti,0.2559081717592293
Ctenarytaina_fuchsia_A,0.3126812010621576
Ctenarytaina_fuchsia_B,0.25697307194197494
Ctenarytaina_pollicaris,0.3032107123665715
Ctenarytaina_SHORT,0.22558071395585877
Glycaspis_granulata,0.3466477409671711
Powellia_falcata,0.24156288165858486
Powellia_fasciata,0.2967379836832915
Powellia_FORTROSE,0.15102441450436732
Powellia_irregularis,0.27731548626739944
Powellia_subacuta,0.31700418590344714
Powellia_vitreoradiata,0.17299229913841074
Psylla_carmichaeliae_C,0.31511055231379004
Psylla_carmichaeliae_E,0.3284715187720795
