joint,values,Sample_Name,OTU,signif
Casuarinicola_sp-SV721_Candidatus_Carsonella,0.22715691183918807,Casuarinicola_sp,SV721_Candidatus_Carsonella,0
Trioza_curta-SV725_Candidatus_Carsonella,0.1305757811116539,Trioza_curta,SV725_Candidatus_Carsonella,1
Trioza_adventicia-SV727_Candidatus_Carsonella,0.13057578111165213,Trioza_adventicia,SV727_Candidatus_Carsonella,1
Powellia_gourlayi-SV728_Candidatus_Carsonella,0.1313926323387431,Powellia_gourlayi,SV728_Candidatus_Carsonella,1
Powellia_bifida-SV730_Candidatus_Carsonella,0.13139263233822351,Powellia_bifida,SV730_Candidatus_Carsonella,1
Acizzia_jucunda-SV762_Candidatus_Carsonella,0.1450362411270527,Acizzia_jucunda,SV762_Candidatus_Carsonella,0
Acizzia_errabunda-SV765_Candidatus_Carsonella,0.1450362411270545,Acizzia_errabunda,SV765_Candidatus_Carsonella,0
Acizzia_acaciaebaileyanae-SV769_Candidatus_Carsonella,0.246729904100075,Acizzia_acaciaebaileyanae,SV769_Candidatus_Carsonella,0
Acizzia_uncatoides-SV771_Candidatus_Carsonella,0.22984429496302639,Acizzia_uncatoides,SV771_Candidatus_Carsonella,0
Acizzia_hakeae-SV772_Candidatus_Carsonella,0.15619390593805438,Acizzia_hakeae,SV772_Candidatus_Carsonella,0
Acizzia_uncatoides-SV778_Candidatus_Carsonella,0.15862358102561203,Acizzia_uncatoides,SV778_Candidatus_Carsonella,0
Calophya_schini-SV781_Candidatus_Carsonella,0.2142096089264136,Calophya_schini,SV781_Candidatus_Carsonella,0
Arytainilla_spartiophila-SV783_Candidatus_Carsonella,0.13550973850764603,Arytainilla_spartiophila,SV783_Candidatus_Carsonella,1
Baeopelma_foersteri-SV786_Candidatus_Carsonella,0.1353747635256255,Baeopelma_foersteri,SV786_Candidatus_Carsonella,1
Atmetocranium_myersi-SV788_Candidatus_Carsonella,0.5719511749200095,Atmetocranium_myersi,SV788_Candidatus_Carsonella,0
Blastopsylla_occidentalis-SV789_Candidatus_Carsonella,0.07674913706299602,Blastopsylla_occidentalis,SV789_Candidatus_Carsonella,1
Eucalyptolyma_maideni-SV795_Candidatus_Carsonella,0.0767491875177746,Eucalyptolyma_maideni,SV795_Candidatus_Carsonella,1
Ctenarytaina_thysanura-SV800_Candidatus_Carsonella,0.08326337598682887,Ctenarytaina_thysanura,SV800_Candidatus_Carsonella,1
Ctenarytaina_spatulata-SV808_Candidatus_Carsonella,0.08326337599509781,Ctenarytaina_spatulata,SV808_Candidatus_Carsonella,1
Ctenarytaina_eucalypti-SV819_Candidatus_Carsonella,0.11170668790379601,Ctenarytaina_eucalypti,SV819_Candidatus_Carsonella,1
Ctenarytaina_eucalypti-SV820_Candidatus_Carsonella,0.11170668790379423,Ctenarytaina_eucalypti,SV820_Candidatus_Carsonella,1
Mycopsylla_fici-SV824_Candidatus_Carsonella,0.20033024480145656,Mycopsylla_fici,SV824_Candidatus_Carsonella,0
Ctenarytaina_longicauda-SV827_Candidatus_Carsonella,0.1412655777180154,Ctenarytaina_longicauda,SV827_Candidatus_Carsonella,0
Ctenarytaina_insularis-SV831_Candidatus_Carsonella,0.14126557771727466,Ctenarytaina_insularis,SV831_Candidatus_Carsonella,0
Anomalopsylla_POLLEN_ISLAND-SV834_Candidatus_Carsonella,0.28438794611519214,Anomalopsylla_POLLEN_ISLAND,SV834_Candidatus_Carsonella,0
Anomalopsylla_POLLEN_ISLAND-SV835_Candidatus_Carsonella,0.2843879461128118,Anomalopsylla_POLLEN_ISLAND,SV835_Candidatus_Carsonella,0
Anomalopsylla_insignita-SV839_Candidatus_Carsonella,0.2295715582712905,Anomalopsylla_insignita,SV839_Candidatus_Carsonella,0
Ctenarytaina_sp_B-SV841_Candidatus_Carsonella,0.1065493474386896,Ctenarytaina_sp_B,SV841_Candidatus_Carsonella,1
Ctenarytaina_pollicaris-SV855_Candidatus_Carsonella,0.13930286637517586,Ctenarytaina_pollicaris,SV855_Candidatus_Carsonella,1
Ctenarytaina_SHORT-SV856_Candidatus_Carsonella,0.09483255387020062,Ctenarytaina_SHORT,SV856_Candidatus_Carsonella,1
Ctenarytaina_SHORT-SV858_Candidatus_Carsonella,0.09483255387020062,Ctenarytaina_SHORT,SV858_Candidatus_Carsonella,1
Ctenarytaina_sp_A-SV861_Candidatus_Carsonella,0.15775941408886052,Ctenarytaina_sp_A,SV861_Candidatus_Carsonella,0
Ctenarytaina_fuchsia_B-SV862_Candidatus_Carsonella,0.10725950597522171,Ctenarytaina_fuchsia_B,SV862_Candidatus_Carsonella,1
Ctenarytaina_fuchsia_B-SV866_Candidatus_Carsonella,0.10725950597716594,Ctenarytaina_fuchsia_B,SV866_Candidatus_Carsonella,1
Ctenarytaina_fuchsia_B-SV868_Candidatus_Carsonella,0.0934167696619621,Ctenarytaina_fuchsia_B,SV868_Candidatus_Carsonella,1
Ctenarytaina_fuchsia_B-SV869_Candidatus_Carsonella,0.0934167696619621,Ctenarytaina_fuchsia_B,SV869_Candidatus_Carsonella,1
Ctenarytaina_fuchsia_A-SV873_Candidatus_Carsonella,0.09762271819106871,Ctenarytaina_fuchsia_A,SV873_Candidatus_Carsonella,1
Psyllopsis_fraxinicola-SV878_Candidatus_Carsonella,0.43508338957200365,Psyllopsis_fraxinicola,SV878_Candidatus_Carsonella,0
Ctenarytaina_fuchsia_A-SV878_Candidatus_Carsonella,0.15877616973789088,Ctenarytaina_fuchsia_A,SV878_Candidatus_Carsonella,0
Ctenarytaina_fuchsia_A-SV879_Candidatus_Carsonella,0.09596785359914772,Ctenarytaina_fuchsia_A,SV879_Candidatus_Carsonella,1
Ctenarytaina_clavata_sp_A-SV887_Candidatus_Carsonella,0.09761874879477173,Ctenarytaina_clavata_sp_A,SV887_Candidatus_Carsonella,1
Ctenarytaina_clavata_sp_B-SV887_Candidatus_Carsonella,0.09761874879476906,Ctenarytaina_clavata_sp_B,SV887_Candidatus_Carsonella,1
