Sample_Name,values
Acizzia_acaciae,-0.20130919756422974
Acizzia_acaciaebaileyanae,-0.1439446286960004
Acizzia_albizziae,-0.08258427412543098
Acizzia_dodonaeae,-0.15210160522514724
Acizzia_errabunda,-0.0950133322251286
Acizzia_hakeae,-0.08286359039608457
Acizzia_jucunda,-0.09501333222512948
Acizzia_solanicola,-0.08258427412543091
Acizzia_uncatoides,-0.08968733300904448
Arytainilla_spartiophila,-0.035109236129962515
Atmetocranium_myersi,-2.923895585351348
Bactericera_cockerelli,-0.1105227158796736
Baeopelma_foersteri,-0.06344433825742238
Blastopsylla_occidentalis,-0.03219732328995478
Calophya_schini,-0.09356779332476454
Casuarinicola_australis,-0.028210586625780035
Ctenarytaina_clavata_sp_A,-0.05748740972610277
Ctenarytaina_clavata_sp_B,-0.05748740972610294
Ctenarytaina_eucalypti,-0.03861464587925341
Ctenarytaina_fuchsia_A,-0.1599130763873452
Ctenarytaina_fuchsia_B,-0.05385101433471819
Ctenarytaina_insularis,-0.07894483815923765
Ctenarytaina_longicauda,-0.07894483815923786
Ctenarytaina_pollicaris,-0.06857789340398845
Ctenarytaina_SHORT,-0.032128484099876994
Ctenarytaina_sp_A,-0.046645078503631844
Ctenarytaina_sp_B,-0.06682947656564012
Ctenarytaina_spatulata,-0.038134287835906354
Ctenarytaina_thysanura,-0.038134287835906486
Mycopsylla_fici,-0.726643897008688
Psylla_apicalis,-0.029737717902406924
Psylla_carmichaeliae_A,-0.029275836117408967
Psylla_carmichaeliae_C,-0.029275836117408915
Psylla_carmichaeliae_E,-0.02034000685759728
Psylla_frodobagginsi,-0.04018410206363773
Psyllopsis_fraxinicola,-1.0314858712662776
Trioza_acuta,-0.06022026801421728
Trioza_acuta_B,-0.060220268014217
Trioza_adventicia,-0.24959725718030376
Trioza_bifida,-0.05626300312159043
Trioza_BRENDA_MAY,-0.03166888998690263
Trioza_colorata,-0.058979479776710864
Trioza_compressa,-0.03384353405836603
Trioza_curta,-0.2495972571803035
Trioza_dacrydii,-0.03503246696085656
Trioza_discariae,-0.057121494573193626
Trioza_doryphora,-0.03166888998690237
Trioza_emarginata,-0.0312626183901909
Trioza_falcata,-0.04114806569698071
Trioza_fasciata,-0.04711244978571308
Trioza_FORTROSE,-0.06450067286350027
Trioza_hebicola,-0.07613165766814646
Trioza_irregularis,-0.04570571066906025
Trioza_MASSEY,-0.02515037651292259
Trioza_obscura,-0.041960984125662085
Trioza_OMAHUTA,-0.024637036359125477
Trioza_panacis,-0.020333914374193223
Trioza_PRICES_VALLEY,-0.04016697765519018
Trioza_sp_A,-0.06302176662821413
Trioza_sp_B,-0.02851738146688747
Trioza_sp_C,-0.031499849514031446
Trioza_subacuta,-0.03356122761287419
Trioza_subvexa,-0.03356122761287432
Trioza_vitreoradiata,-0.029972938749573606
Triozid_sp,-0.16780992811341028
