SampleID,Sample_Name,seqrun,psyllid_spp,psyllid_genus,psyllid_family,hostplant_spp,Collection_Date,replicated,lat,long
134a_S111,134A,2,Mycopsylla_fici,Mycopsylla,Calophyidae,Ficus_macrophylla,26/3/15,FALSE,-36.855555555555554,174.76194444444445
134b_S112,134B,2,Mycopsylla_fici,Mycopsylla,Calophyidae,Ficus_macrophylla,26/3/15,FALSE,-36.855555555555554,174.76194444444445
MockEven_S193,MockEven,2,ND,ND,NA,NA,NA,FALSE,NA,NA
MockStaggered_S194,MockStaggered,2,ND,ND,NA,NA,NA,FALSE,NA,NA
187_S146,187,2,Psylla_apicalis,Psylla,Psyllidae,Sophora_microphylla,1/9/15,FALSE,-43.522777777777776,172.58527777777778
200big_S149,200,2,Psylla_apicalis,Psylla,Psyllidae,Sophora_microphylla,2/11/15,TRUE,-45.08694444444445,170.9752777777778
201big_S151,201,2,Psylla_apicalis,Psylla,Psyllidae,Sophora_microphylla,8/11/15,TRUE,-46.41583333333333,168.36249999999998
206_S153,206,2,Psylla_apicalis,Psylla,Psyllidae,Sophora_microphylla,9/11/15,FALSE,-45.03666666666666,168.66055555555556
26_S25,26,2,Psylla_carmichaeliae_A,Psylla,Psyllidae,Carmichaelia_sp,14/9/14,FALSE,-43.653888888888886,172.81222222222223
22A_S91,22A,1,Psylla_carmichaeliae_A,Psylla,Psyllidae,Carmichaelia_sp,14/9/14,FALSE,-43.77833333333333,172.7861111111111
22B_S92,22B,1,Psylla_carmichaeliae_A,Psylla,Psyllidae,Carmichaelia_sp,14/9/14,FALSE,-43.77833333333333,172.7861111111111
222_S161,222,2,Psylla_carmichaeliae_C,Psylla,Psyllidae,Carmichaelia_sp,10/11/15,FALSE,-43.75083333333333,169.38694444444442
223_S162,223,2,Psylla_carmichaeliae_C,Psylla,Psyllidae,Carmichaelia_sp,10/11/15,FALSE,-43.565,169.77027777777778
212_S156,212,2,Psylla_carmichaeliae_E,Psylla,Psyllidae,Carmichaelia_petri,9/11/15,FALSE,-44.95527777777778,169.26416666666665
213_S157,213,2,Psylla_carmichaeliae_E,Psylla,Psyllidae,Carmichaelia_petri,9/11/15,FALSE,-45.034166666666664,169.19972222222222
217_S158,217,2,Psylla_carmichaeliae_E,Psylla,Psyllidae,Carmichaelia_petri,10/11/15,FALSE,-44.974722222222226,168.94833333333332
55_S52,55,2,Psylla_frodobagginsi,Psylla,Psyllidae,Sophora_microphylla,30/11/14,FALSE,-43.63972222222222,172.4752777777778
200small_S150,200,2,Psylla_frodobagginsi,Psylla,Psyllidae,Sophora_microphylla,2/11/15,TRUE,-45.08694444444445,170.9752777777778
201small_S152,201,2,Psylla_frodobagginsi,Psylla,Psyllidae,Sophora_microphylla,8/11/15,TRUE,-46.41583333333333,168.36249999999998
209_S155,209,2,Psylla_frodobagginsi,Psylla,Psyllidae,Sophora_microphylla,9/11/15,FALSE,-45.03583333333333,169.1925
238_S166,238,2,Psylla_frodobagginsi,Psylla,Psyllidae,Sophora_microphylla_(kowhai),12/11/15,FALSE,-41.25805555555556,172.11666666666667
94_S80,94,2,Psyllopsis_fraxini,Psyllopsis,Liviidae,Fraxinus_excelsior,26/2/15,FALSE,-46.401944444444446,168.3563888888889
107_S88,107,2,Psyllopsis_fraxini,Psyllopsis,Liviidae,Fraxinus_excelsior,2/3/15,FALSE,-45.41583333333333,167.71055555555554
113_S93,113,2,Psyllopsis_fraxini,Psyllopsis,Liviidae,Fraxinus_excelsior,4/3/15,FALSE,-44.30972222222222,170.95277777777775
49_S47,49,2,Psyllopsis_fraxinicola,Psyllopsis,Liviidae,Fraxinus_excelsior,27/11/14,FALSE,-43.63972222222222,172.4752777777778
93_S79,93,2,Psyllopsis_fraxinicola,Psyllopsis,Liviidae,Fraxinus_excelsior,26/2/15,FALSE,-46.401944444444446,168.3563888888889
106_S87,106,2,Psyllopsis_fraxinicola,Psyllopsis,Liviidae,Fraxinus_excelsior,2/3/15,FALSE,-45.41583333333333,167.71055555555554
112_S92,112,2,Psyllopsis_fraxinicola,Psyllopsis,Liviidae,Fraxinus_excelsior,4/3/15,FALSE,-44.30972222222222,170.95277777777775
45_S43,45,2,Trioza_acuta,Trioza,Triozidae,Unknown,23/10/14,FALSE,-42.51722222222222,172.81611111111113
5b_S4,5B,2,Trioza_acuta,Trioza,Triozidae,Ozothamnus_sp,1/9/14,FALSE,-43.29666666666667,171.73694444444442
118a_S99,118A,2,Trioza_adventicia,Trioza,Triozidae,Syzygium_smithii,11/3/15,FALSE,-43.530833333333334,172.625
174_S139,174,2,Trioza_bifida,Trioza,Triozidae,Olearia_fragmentissima,16/4/15,FALSE,-43.80972222222222,173.02416666666667
29A_S95,29A,1,Trioza_bifida,Trioza,Triozidae,Pseudowintera_colorata,14/9/14,TRUE,-43.71416666666667,172.78333333333333
29a_S28,29A,2,Trioza_bifida,Trioza,Triozidae,Pseudowintera_colorata,14/9/14,TRUE,-43.71416666666667,172.78333333333333
29B_S96,29B,1,Trioza_bifida,Trioza,Triozidae,Pseudowintera_colorata,14/9/14,TRUE,-43.71416666666667,172.78333333333333
29b_S29,29B,2,Trioza_bifida,Trioza,Triozidae,Pseudowintera_colorata,14/9/14,TRUE,-43.71416666666667,172.78333333333333
SI12_S180,SI12,2,Trioza_bifida,Trioza,Triozidae,Fuchsia_excorticata,14/10/14,FALSE,-46.900277777777774,168.12083333333334
SI3B_S191,SI3B,2,Trioza_bifida,Trioza,Triozidae,Dracophyllum_sp,14/10/14,FALSE,-46.900277777777774,168.12083333333334
91_S78,91,2,Trioza_BRENDA_MAY,Trioza,Triozidae,Olearia_ilicifolia,26/2/15,FALSE,-46.57222222222222,169.34666666666666
276_S138,276,3,Trioza_BRENDA_MAY,Trioza,Triozidae,Olearia_sp,6/2/16,FALSE,-44.1825,169.00861111111112
414_S143,414,3,Trioza_colorata,Trioza,Triozidae,Halocarpus_sp,29/3/16,FALSE,-41.806666666666665,172.8563888888889
46A_S93,46A,1,Trioza_colorata,Trioza,Triozidae,Halocarpus_sp,27/10/14,TRUE,-43.02916666666667,171.62944444444446
46a_S44,46A,2,Trioza_colorata,Trioza,Triozidae,Halocarpus_sp,27/10/14,TRUE,-43.02916666666667,171.62944444444446
46B_S94,46B,1,Trioza_colorata,Trioza,Triozidae,Halocarpus_sp,27/10/14,FALSE,-43.02916666666667,171.62944444444446
50a_S48,50A,2,Trioza_colorata,Trioza,Triozidae,Halocarpus_sp,23/11/14,FALSE,-43.63972222222222,172.4752777777778
260_S130,260,3,Trioza_compressa,Trioza,Triozidae,Olearia_rani_var_colorata,24/1/16,FALSE,-41.09305555555556,172.7213888888889
473A_S184,473A,3,Trioza_compressa,Trioza,Triozidae,Olearia_rani,20/1/17,FALSE,-40.744166666666665,172.6808333333333
473a_S189,473a,3,Trioza_compressa,Trioza,Triozidae,Olearia_rani,20/1/17,FALSE,-40.744166666666665,172.6808333333333
476A_S185,476A,3,Trioza_curta,Trioza,Triozidae,Metrosideros_robusta,23/1/17,FALSE,-40.63666666666666,172.56805555555556
476a_S190,476a,3,Trioza_curta,Trioza,Triozidae,Metrosideros_robusta,23/1/17,FALSE,-40.63666666666666,172.56805555555556
415A_S144,415A,3,Trioza_dacrydii,Trioza,Triozidae,Halocarpus_sp,29/3/16,FALSE,-41.806666666666665,172.8563888888889
415B_S145,415B,3,Trioza_dacrydii,Trioza,Triozidae,Halocarpus_sp,29/3/16,FALSE,-41.806666666666665,172.8563888888889
61_S57,61,2,Trioza_decurvata,Trioza,Triozidae,Dracophyllum_sp,27/1/15,FALSE,-43.29666666666667,171.73694444444442
69_S63,69,2,Trioza_decurvata,Trioza,Triozidae,Dracophyllum_sp,8/1/15,FALSE,-42.565555555555555,173.18861111111113
40_S39,40,2,Trioza_discariae,Trioza,Triozidae,Discaria_toumatou,23/10/14,FALSE,-43.16,172.73083333333332
38a_S37,38A,2,Trioza_discariae,Trioza,Triozidae,Discaria_toumatou,14/9/14,FALSE,-43.63527777777778,171.22611111111112
38b_S38,38B,2,Trioza_discariae,Trioza,Triozidae,Discaria_toumatou,14/9/14,FALSE,-43.63527777777778,171.22611111111112
161_S129,161,2,Trioza_doryphora,Trioza,Triozidae,Olearia_ilicifolia,12/4/15,FALSE,-43.80972222222222,173.02416666666667
162_S130,162,2,Trioza_doryphora,Trioza,Triozidae,Olearia_ilicifolia,12/4/15,FALSE,-43.80972222222222,173.02416666666667
170_S136,170,2,Trioza_doryphora,Trioza,Triozidae,Olearia_ilicifolia,16/4/15,FALSE,-43.75194444444445,173.01555555555555
173_S138,173,2,Trioza_doryphora,Trioza,Triozidae,Olearia_ilicifolia,16/4/15,FALSE,-43.80972222222222,173.02416666666667
48_S46,48,2,Trioza_emarginata,Trioza,Triozidae,Coprosma_sp,27/10/14,FALSE,-43.20638888888889,171.7225
151_S122,151,2,Trioza_falcata,Trioza,Triozidae,Aristotelia_fruticosa,4/4/15,FALSE,-42.99666666666667,171.7397222222222
154_S124,154,2,Trioza_falcata,Trioza,Triozidae,Aristotelia_fruticosa,4/4/15,FALSE,-42.99666666666667,171.7397222222222
157_S125,157,2,Trioza_falcata,Trioza,Triozidae,Aristotelia_fruticosa,4/4/15,FALSE,-43.22027777777778,171.7188888888889
158_S126,158,2,Trioza_falcata,Trioza,Triozidae,Aristotelia_fruticosa,5/4/15,FALSE,-43.132222222222225,171.76694444444445
64_S60,64,2,Trioza_fasciata,Trioza,Triozidae,Muehlenbeckia_complexa,29/1/15,FALSE,-40.51416666666667,172.75472222222223
132_S109,132,2,Trioza_fasciata,Trioza,Triozidae,Muehlenbeckia_auxiliaris,25/3/15,FALSE,-37.007777777777775,174.90611111111113
471A_S182,471A,3,Trioza_FORTROSE,Trioza,Triozidae,Elaeocarpus,15/1/17,FALSE,-41.29111111111111,173.23444444444442
471a_S187,471a,3,Trioza_FORTROSE,Trioza,Triozidae,Elaeocarpus,15/1/17,FALSE,-41.29111111111111,173.23444444444442
457A_S172,457A,3,Trioza_gourlayi,Trioza,Triozidae,Olearia_virgata,1/12/16,FALSE,-41.29111111111111,173.23444444444442
457B_S173,457B,3,Trioza_gourlayi,Trioza,Triozidae,Olearia_virgata,1/12/16,FALSE,-41.29111111111111,173.23444444444442
63a_S59,63A,2,Trioza_hebicola,Trioza,Triozidae,Hebe_sp,27/1/15,FALSE,-43.29666666666667,171.73694444444442
4_S3,4,2,Trioza_irregularis,Trioza,Triozidae,Pseudopanax_arboreus,1/9/14,FALSE,-43.29083333333333,171.92499999999998
166_S133,166,2,Trioza_irregularis,Trioza,Triozidae,Pseudopanax_arboreus,16/4/15,FALSE,-43.721111111111114,172.93722222222223
168_S134,168,2,Trioza_irregularis,Trioza,Triozidae,Pseudopanax_arboreus,16/4/15,FALSE,-43.721111111111114,172.93722222222223
252_S128,252,3,Trioza_irregularis,Trioza,Triozidae,Fuchsia_excorticata,7/1/16,FALSE,-41.14694444444444,173.51333333333332
119a_S100,119A,2,Trioza_MASSEY,Trioza,Triozidae,Olearia_sp,11/3/15,FALSE,-43.530277777777776,172.62083333333334
479a_S88,479a,3,Trioza_MASSEY,Trioza,Triozidae,Olearia_odorata,24/1/17,FALSE,-41.036944444444444,172.8075
479A_S186,479A,3,Trioza_MASSEY,Trioza,Triozidae,Olearia_odorata,24/1/17,FALSE,-41.036944444444444,172.8075
68_S62,68,2,Trioza_obscura,Trioza,Triozidae,Hebe_sp,8/1/15,FALSE,-42.565555555555555,173.18861111111113
478A_S85,478A,3,Trioza_obscura,Trioza,Triozidae,Hebe_sp,24/1/17,FALSE,-41.036944444444444,172.8075
478B_S86,478B,3,Trioza_obscura,Trioza,Triozidae,Hebe_sp,24/1/17,FALSE,-41.036944444444444,172.8075
62_S58,62,2,Trioza_OMAHUTA,Trioza,Triozidae,Metrosideros_umbellata,27/1/15,FALSE,-43.29666666666667,171.73694444444442
456_S171,456,3,Trioza_OMAHUTA,Trioza,Triozidae,Brachyglottis_repanda,1/12/16,FALSE,-41.29111111111111,173.23444444444442
472A_S183,472A,3,Trioza_OMAHUTA,Trioza,Triozidae,Brachyglottis_repanda,17/1/17,FALSE,-40.744166666666665,172.6808333333333
472a_S188,472a,3,Trioza_OMAHUTA,Trioza,Triozidae,Brachyglottis_repanda,17/1/17,FALSE,-40.744166666666665,172.6808333333333
72_S65,72,2,Trioza_panacis,Trioza,Triozidae,Pseudopanax_crassifolius,16/2/15,FALSE,-43.640277777777776,172.4752777777778
57b_S54,57B,2,Trioza_PRICES_VALLEY,Trioza,Triozidae,Plagianthus_sp,9/11/14,FALSE,-37.765,176.40027777777777
410_S141,410,3,Trioza_sp_A,Trioza,Triozidae,Pittosporum_divaricartum,27/3/16,FALSE,-41.806666666666665,172.8563888888889
468A_S180,468A,3,Trioza_sp_A,Trioza,Triozidae,Pittosporum_divaricartum,14/1/17,FALSE,-41.29111111111111,173.23444444444442
468B_S181,468B,3,Trioza_sp_A,Trioza,Triozidae,Pittosporum_divaricartum,14/1/17,FALSE,-41.29111111111111,173.23444444444442
160_S128,160,2,Trioza_acuta_B,Trioza,Triozidae,Ozothamnus_sp,5/4/15,FALSE,-43.132222222222225,171.76694444444445
412_S142,412,3,Trioza_sp_B,Trioza,Triozidae,Olearia_arborescens,28/3/16,FALSE,-41.806666666666665,172.8563888888889
47_S45,47,2,Trioza_sp_C,Trioza,Triozidae,Pseudopanax_edgerlii,27/10/14,FALSE,-43.02916666666667,171.62944444444446
442A_S157,442A,3,Trioza_sp_D,Trioza,Triozidae,Olearia_virgata,24/10/16,FALSE,-43.22416666666667,172.28250000000003
442B_S158,442B,3,Trioza_sp_D,Trioza,Triozidae,Olearia_virgata,24/10/16,FALSE,-43.22416666666667,172.28250000000003
442b_S159,442b,3,Trioza_sp_D,Trioza,Triozidae,Olearia_virgata,24/10/16,FALSE,-43.22416666666667,172.28250000000003
120a_S101,120A,2,Trioza_subacuta,Trioza,Triozidae,Olearia_avicenniifolia,10/3/15,FALSE,-43.6325,172.62472222222223
159a_S127,159A,2,Trioza_subacuta,Trioza,Triozidae,Olearia_avicenniifolia,5/4/15,FALSE,-43.132222222222225,171.76694444444445
257_S129,257,3,Trioza_subvexa,Trioza,Triozidae,Olearia,17/1/16,FALSE,-40.763333333333335,172.68277777777777
458_S174,458,3,Trioza_subvexa,Trioza,Triozidae,Olearia_avicenniifolia,1/12/16,FALSE,-41.29111111111111,173.23444444444442
477A_S87,477A,3,Trioza_subvexa,Trioza,Triozidae,Olearia_avicenniifolia,24/1/17,FALSE,-41.036944444444444,172.8075
477B_S84,477B,3,Trioza_subvexa,Trioza,Triozidae,Olearia_avicenniifolia,24/1/17,FALSE,-41.036944444444444,172.8075
53_S50,53,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,30/11/14,FALSE,-43.63972222222222,172.4752777777778
59_S56,59,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,23/1/15,FALSE,-40.72666666666667,172.68861111111113
84_S73,84,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,25/2/15,FALSE,-46.46805555555556,168.65833333333333
88_S75,88,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,25/2/15,FALSE,-46.42444444444444,168.36055555555555
90_S77,90,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,26/2/15,FALSE,-46.564166666666665,168.94472222222223
102_S84,102,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,28/2/15,FALSE,-45.77833333333333,167.61527777777778
104_S85,104,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,2/3/15,FALSE,-45.56472222222222,167.61055555555555
133_S110,133,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,25/3/15,FALSE,-36.84666666666667,174.75472222222223
148_S120,148,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,29/3/15,FALSE,-37.01361111111111,175.5102777777778
169_S135,169,2,Trioza_vitreoradiata,Trioza,Triozidae,Pittosporum_crassifolius,16/4/15,FALSE,-43.75194444444445,173.01555555555555
Mock_S192,Mock,3,NA,NA,NA,NA,NA,FALSE,NA,NA
PCRctrl_S191,PCR_negative,3,NA,NA,NA,NA,NA,FALSE,NA,NA
