SampleID,Sample_Name,seqrun,psyllid_spp,psyllid_genus,psyllid_family,hostplant_spp,Collection_Date,replicated,lat,long
440A_S156,440A,3,Anomalopsylla_insignita,Anomalopsylla,Aphalaridae,Plagianthus_sp,23/10/16,FALSE,-43.70305555555556,172.69166666666666
451A_S164,451A,3,Anomalopsylla_insignita,Anomalopsylla,Aphalaridae,Olearia_paniculata,30/10/16,FALSE,-43.70305555555556,172.69166666666666
455B_S169,455B,3,Anomalopsylla_insignita,Anomalopsylla,Aphalaridae,Olearia_paniculata,28/10/16,FALSE,-43.70305555555556,172.69166666666666
455b_S170,455b,3,Anomalopsylla_insignita,Anomalopsylla,Aphalaridae,Olearia_paniculata,28/10/16,FALSE,-43.70305555555556,172.69166666666666
35A_S82,35A,1,Anomalopsylla_POLLEN_ISLAND,Anomalopsylla,Aphalaridae,Olearia_odorata,14/9/14,TRUE,-43.630833333333335,171.30055555555558
35a_S36,35A,2,Anomalopsylla_POLLEN_ISLAND,Anomalopsylla,Aphalaridae,Olearia_odorata,14/9/14,TRUE,-43.630833333333335,171.30055555555558
35B_S83,35B,1,Anomalopsylla_POLLEN_ISLAND,Anomalopsylla,Aphalaridae,Olearia_odorata,14/9/14,FALSE,-43.630833333333335,171.30055555555558
35C_S84,35C,1,Anomalopsylla_POLLEN_ISLAND,Anomalopsylla,Aphalaridae,Olearia_odorata,14/9/14,FALSE,-43.630833333333335,171.30055555555558
195_S148,195,2,Arytainilla_spartiophila,Arytainilla,Psyllidae,Cytisus_scoparius,2/11/15,FALSE,-43.59666666666667,172.3636111111111
207_S154,207,2,Arytainilla_spartiophila,Arytainilla,Psyllidae,Cytisus_scoparius,9/11/15,FALSE,-45.03666666666666,168.66055555555556
248A_S126,248A,3,Atmetocranium_myersi,Atmetocranium,Calophyidae,Weinmannia_racemosa,4/1/16,FALSE,-42.94944444444444,171.58138888888888
248B_S127,248B,3,Atmetocranium_myersi,Atmetocranium,Calophyidae,Weinmannia_racemosa,4/1/16,FALSE,-42.94944444444444,171.58138888888888
70a_S64,70A,2,Bactericera_cockerelli,Bactericera,Triozidae,Solanum_tuberosum,3/2/15,FALSE,-43.640277777777776,172.4752777777778
87_S74,87,2,Baeopelma_foersteri,Baeopelma,Psyllidae,Alnus_glutinosa,25/2/15,FALSE,-46.42444444444444,168.36055555555555
110_S91,110,2,Baeopelma_foersteri,Baeopelma,Psyllidae,Alnus_glutinosa,3/3/15,FALSE,-44.25666666666667,170.0991666666667
91_S167,blank,2,blank,NA,NA,NA,NA,FALSE,NA,NA
137_S115,137,2,Blastopsylla_occidentalis,Blastopsylla,Aphalaridae,Eucalyptus_sp,26/3/15,FALSE,-36.781666666666666,175.00916666666666
142_S116,142,2,Blastopsylla_occidentalis,Blastopsylla,Aphalaridae,Eucalyptus_sp,28/3/15,FALSE,-37.79944444444444,175.27194444444447
