SampleID,Sample Name,seqrun,f_primer,r_primer,Cycles,Annealing temperature,Taq,Project Description/ Owner,psyllid_family,psyllid_genus,psyllid_spp,hostplant_spp,Collection,Collection Date
11a_S11,11A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia jucunda,Acacia sp.,"41°25'05.84""S 173°57'53.38""E",19/09/2014
19A_S61,19A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia jucunda,Acacia sp.,"41°15'27.81""S 172°49'21.79""E",24/09/2014
19a_S16,19A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia jucunda,Acacia sp.,"41°15'27.81""S 172°49'21.79""E",24/09/2014
19VOUCHA_S17,19A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia jucunda,Acacia sp.,"41°15'27.81""S 172°49'21.79""E",24/09/2014
19C_S63,19C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia jucunda,Acacia sp.,"41°15'27.81""S 172°49'21.79""E",24/09/2014
116a_S95,116A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia solanicola,Solanum tuberosum,"36°53'58.80""S 174°46'55.90""E",6/03/2015
116b_S96,116B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia solanicola,Solanum tuberosum,"36°53'58.80""S 174°46'55.90""E",6/03/2015
65_S61,65,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia uncatoides,Acacia sp.,"40°42'53.20""S 172°40'49.90""E",30/01/2015
178_S142,178,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia uncatoides,Acacia sp.,"43°48'04.20""S 172°58'33.10""E",16/04/2015
181a_S145,181A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia uncatoides,Acacia sp.,"43°38'37.80""S 172°28'07.80""E",17/07/2015
75a_S67,75A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia uncatoides,Acacia sp.,"43°38'25.90""S 172°28'31.20""E",20/02/2015
VIC8A_S189,VIC8A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia uncatoides,Acacia sp.,"37°49'43.60""S 144°58'33.10""E",12/11/2014
VIC8B_S190,VIC8B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia uncatoides,Acacia sp.,"37°49'43.60""S 144°58'33.10""E",12/11/2014
SA1B_S173,SA1B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anoeconeossa,Anoeconeossa sp.,Eucalyptus sp.,"34°57'33.20""S 138°40'45.30""E",4/11/2014
440a_S155,440a,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla insignita,Plagianthus sp.,"43°42'11.2""S 172°41'30.5""E",23/10/2016
440A_S156,440A,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla insignita,Plagianthus sp.,"43°42'11.2""S 172°41'30.5""E",23/10/2016
451A_S164,451A,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla insignita,Olearia paniculata,"43°42'11.2""S 172°41'30.5""E",30/10/2016
455B_S169,455B,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla insignita,Olearia paniculata,"43°42'11.2""S 172°41'30.5""E",28/10/2016
455b_S170,455b,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla insignita,Olearia paniculata,"43°42'11.2""S 172°41'30.5""E",28/10/2016
35A_S82,35A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla POLLEN ISLAND,Olearia odorata,"43°37'51.90""S 171°18'02.48""E",14/09/2014
35a_S36,35A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla POLLEN ISLAND,Olearia odorata,"43°37'51.90""S 171°18'02.48""E",14/09/2014
35B_S83,35B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla POLLEN ISLAND,Olearia odorata,"43°37'51.90""S 171°18'02.48""E",14/09/2014
35C_S84,35C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla POLLEN ISLAND,Olearia odorata,"43°37'51.90""S 171°18'02.48""E",14/09/2014
195_S148,195,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Arytainilla,Arytainilla spartiophila,Cytisus scoparius,"43°35'48.53""S 172°21'49.17""E",2/11/2015
207_S154,207,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Arytainilla,Arytainilla spartiophila,Cytisus scoparius,"45°02'12.80""S 168°39'38.30""E",9/11/2015
248A_S126,248A,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Calophyidae,Atmetocranium,Atmetocranium myersi,kamahi,"42°56'58.2""S 171°34'53.4""E",4/01/2016
248B_S127,248B,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Calophyidae,Atmetocranium,Atmetocranium myersi,kamahi,"42°56'58.2""S 171°34'53.4""E",4/01/2016
70a_S64,70A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Bactericera,Bactericera cockerelli,Solanum tuberosum,"43°38'25.90""S 172°28'31.20""E",3/02/2015
87_S74,87,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Baeopelma,Baeopelma foersteri,Alnus glutinosa,"46°25'28.87""S 168°21'38.03""E",25/02/2015
110_S91,110,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Baeopelma,Baeopelma foersteri,Alnus glutinosa,"44°15'24.97""S 170°05'57.58""E",3/03/2015
