SampleID,Sample_Name,seqrun,f_primer,r_primer,Cycles,Annealing_temperature,Taq,Project_Description/_Owner,psyllid_family,psyllid_genus,psyllid_spp,hostplant_spp,Collection_Date,replicated,lat,long,genus_geo
80_S70,80,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_hakeae,Grevillea_sp,23/02/2015,FALSE,-44.40888889,171.2530556,Acizzia
11a_S11,11A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_jucunda,Acacia_sp,19/09/2014,TRUE,-41.41805556,173.9647222,Acizzia
19A_S61,19A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_jucunda,Acacia_sp,24/09/2014,TRUE,-41.2575,172.8225,Acizzia
19a_S16,19A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_jucunda,Acacia_sp,24/09/2014,TRUE,-41.2575,172.8225,Acizzia
19VOUCHA_S17,19VOUCHA,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_jucunda,Acacia_sp,24/09/2014,FALSE,-41.2575,172.8225,Acizzia
19C_S63,19C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_jucunda,Acacia_sp,24/09/2014,FALSE,-41.2575,172.8225,Acizzia
116a_S95,116A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_solanicola,Solanum_tuberosum,6/03/2015,FALSE,-36.89944444,174.7819444,Acizzia
116b_S96,116B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_solanicola,Solanum_tuberosum,6/03/2015,FALSE,-36.89944444,174.7819444,Acizzia
65_S61,65,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_uncatoides,Acacia_sp,30/01/2015,FALSE,-40.71472222,172.6802778,Acizzia
178_S142,178,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_uncatoides,Acacia_sp,16/04/2015,FALSE,-43.80111111,172.9758333,Acizzia
181a_S145,181A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_uncatoides,Acacia_sp,17/07/2015,FALSE,-43.64361111,172.4686111,Acizzia
75a_S67,75A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_uncatoides,Acacia_sp,20/02/2015,FALSE,-43.64027778,172.4752778,Acizzia
VIC8A_S189,VIC8A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_uncatoides,Acacia_sp,12/11/2014,FALSE,-37.82861111,144.9758333,Acizzia
VIC8B_S190,VIC8B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Acizzia,Acizzia_uncatoides,Acacia_sp,12/11/2014,FALSE,-37.82861111,144.9758333,Acizzia
SA1B_S173,SA1B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anoeconeossa,Anoeconeossa_sp,Eucalyptus_sp,4/11/2014,FALSE,-34.95916667,138.6791667,Anoeconeossa
440a_S155,440a,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla_insignita,Plagianthus_sp,23/10/2016,FALSE,-43.70305556,172.6916667,Anomalopsylla
440A_S156,440A,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla_insignita,Plagianthus_sp,23/10/2016,FALSE,-43.70305556,172.6916667,Anomalopsylla
451A_S164,451A,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla_insignita,Olearia_paniculata,30/10/2016,FALSE,-43.70305556,172.6916667,Anomalopsylla
455B_S169,455B,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla_insignita,Olearia_paniculata,28/10/2016,FALSE,-43.70305556,172.6916667,Anomalopsylla
455b_S170,455b,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla_insignita,Olearia_paniculata,28/10/2016,FALSE,-43.70305556,172.6916667,Anomalopsylla
35A_S82,35A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla_POLLEN_ISLAND,Olearia_odorata,14/09/2014,TRUE,-43.63083333,171.3005556,Anomalopsylla
35a_S36,35A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla_POLLEN_ISLAND,Olearia_odorata,14/09/2014,TRUE,-43.63083333,171.3005556,Anomalopsylla
35B_S83,35B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla_POLLEN_ISLAND,Olearia_odorata,14/09/2014,FALSE,-43.63083333,171.3005556,Anomalopsylla
35C_S84,35C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Anomalopsylla,Anomalopsylla_POLLEN_ISLAND,Olearia_odorata,14/09/2014,FALSE,-43.63083333,171.3005556,Anomalopsylla
195_S148,195,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Arytainilla,Arytainilla_spartiophila,Cytisus_scoparius,2/11/2015,FALSE,-43.59666667,172.3636111,Arytainilla
207_S154,207,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Arytainilla,Arytainilla_spartiophila,Cytisus_scoparius,9/11/2015,FALSE,-45.03666667,168.6605556,Arytainilla
248A_S126,248A,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Calophyidae,Atmetocranium,Atmetocranium_myersi,Weinmannia_racemosa,4/01/2016,FALSE,-42.94944444,171.5813889,Atmetocranium
248B_S127,248B,3,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Calophyidae,Atmetocranium,Atmetocranium_myersi,Weinmannia_racemosa,4/01/2016,FALSE,-42.94944444,171.5813889,Atmetocranium
70a_S64,70A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Bactericera,Bactericera_cockerelli,Solanum_tuberosum,3/02/2015,FALSE,-43.64027778,172.4752778,Bactericera
87_S74,87,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Baeopelma,Baeopelma_foersteri,Alnus_glutinosa,25/02/2015,FALSE,-46.42444444,168.3605556,Baeopelma
110_S91,110,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Psyllidae,Baeopelma,Baeopelma_foersteri,Alnus_glutinosa,3/03/2015,FALSE,-44.25666667,170.0991667,Baeopelma
91_S167,blank,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
137_S115,137,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Blastopsylla,Blastopsylla_occidentalis,Eucalyptus_sp,26/03/2015,FALSE,-36.78166667,175.0091667,Blastopsylla
142_S116,142,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Blastopsylla,Blastopsylla_occidentalis,Eucalyptus_sp,28/03/2015,FALSE,-37.79944444,175.2719444,Blastopsylla
117a_S97,117A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Calophyidae,Calophya,Calophya_schini,Schinus_molle,11/03/2015,FALSE,-43.53111111,172.6255556,Calophya
117b_S98,117B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Calophyidae,Calophya,Calophya_schini,Schinus_molle,11/03/2015,FALSE,-43.53111111,172.6255556,Calophya
150b_S121,150B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola_australis,Casuarina_sp,31/03/2015,FALSE,-35.75638889,174.3772222,Casuarinicola
SA3A_S174,SA3A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola_australis,Casuarina_sp,6/11/2014,FALSE,-34.95916667,138.6791667,Casuarinicola
125_S105,125,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola_sp,Casuarina_sp,23/03/2015,FALSE,-36.90277778,174.7797222,Casuarinicola
147_S119,147,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola_sp,Casuarina_sp,29/03/2015,FALSE,-37.22222222,175.6288889,Casuarinicola
SA8A_S177,SA8A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola_sp,Casuarina_sp,6/11/2014,FALSE,-34.95916667,138.6791667,Casuarinicola
