OTU,values
SV321_f__Comamonadaceae,-8.991567354803504
SV325_Pelomonas,-10.149075894794851
SV327_Aquabacterium,-9.026498263130026
SV328_Aquabacterium,-8.942713888670832
SV329_Curvibacter,-9.075572127873539
SV330_f__Comamonadaceae,-8.267090087936369
SV331_f__Comamonadaceae,-9.298350681353623
SV332_Delftia,-8.2922069790659
SV333_f__Comamonadaceae,-8.916525637497577
SV335_Sulfuritalea,-9.107914160427766
SV336_Sulfuritalea,-9.01450587656233
SV337_Rhodanobacter,-8.959105600570018
SV338_Stenotrophomonas,-9.463987926326222
SV341_Stenotrophomonas,-10.325413675477634
SV342_Stenotrophomonas,-8.539490160017278
SV343_Stenotrophomonas,-7.195586040514735
SV344_o__RBG_13_54_9,-9.623028540133046
SV345_Nitrospira,-10.317381048789949
SV349_f__Anaerococcus,-7.176896853221714
SV35_Rickettsia,-18.37181853295281
SV351_f__Anaerococcus,-9.46193747639875
SV352_f__Finegoldia,-9.933682847843164
SV359_Spiroplasma,-8.080193166997187
SV360_Mycoplasma,-9.96779918144434
SV365_Mycoplasma,-9.544138475710765
SV366_Mycoplasma,-10.256418854517161
SV367_Mycoplasma,-10.63260288015441
SV368_Mycoplasma,-9.848125336208811
SV373_Mycoplasma,-9.642955292818764
SV374_Mycoplasma,-9.68392439690588
SV375_Mycoplasma,-9.939101076621599
SV377_Mycoplasma,-9.070257667829614
SV379_Mycoplasma,-10.567069616089075
SV380_Candidatus_Phytoplasma,-6.735917083625411
SV381_Candidatus_Phytoplasma,-9.942255584743494
SV382_Candidatus_Phytoplasma,-9.713897986357333
SV383_Candidatus_Phytoplasma,-9.132984564437528
SV384_Dolosigranulum,-8.819439842320158
SV387_Lactobacillus,-10.032346286833748
SV388_Lactobacillus,-10.10969813442615
SV389_Weissella,-10.602309539121618
SV390_Granulicatella,-7.9488941977947
SV394_Streptococcus,-12.072448327283682
SV4_Sphingomonas,-10.903449808116388
SV402_Streptococcus,-8.709946952049913
SV411_Staphylococcus,-9.041005214007297
SV412_Staphylococcus,-9.182753860506208
SV414_Staphylococcus,-8.112365938162888
SV416_Staphylococcus,-9.113571275941666
SV419_Staphylococcus,-10.713973843438556
SV423_Gemella,-8.139181977360535
SV425_Veillonella,-8.870704112345814
SV430_o__Solirubrobacterales,-10.30283300306778
SV431_f__Sporichthyaceae,-8.956758859354112
SV432_f__Sporichthyaceae,-10.517613922542417
SV434_Cutibacterium,-9.154935227947206
SV435_f__Propionibacteriaceae,-9.820405836727755
SV437_f__Microbacteriaceae,-9.400708348792657
SV438_f__Microbacteriaceae,-9.956939415778566
SV439_Rothia,-8.626472937303308
SV44_o__CHAB_XI_27,-10.596758972623174
SV440_f__Micrococcaceae,-9.361728370976282
SV442_Lawsonella,-8.658192649132749
SV443_Lawsonella,-8.710470877864022
SV444_Corynebacterium,-9.358754826586466
SV445_Corynebacterium,-9.267000546570394
SV45_Legionella,-13.877119230558684
SV451_Rhodococcus,-8.479763110508902
SV457_Leptospira,-9.920239250206523
SV458_Granulicella,-10.202060370922668
SV459_Terriglobus,-10.229964573827171
SV460_Bryobacter,-9.29863284527952
SV462_Meiothermus,-9.767179793482915
SV464_Asinibacterium,-9.087146579329978
SV467_Sediminibacterium,-9.725011764902645
SV468_Sediminibacterium,-9.64899597021137
SV469_Sediminibacterium,-9.862669187835285
SV470_Sediminibacterium,-9.794015945905429
SV472_Sediminibacterium,-7.697897541195521
SV473_Flavihumibacter,-9.73689699124927
SV475_Heliimonas,-9.471702745241922
SV477_Heliimonas,-7.992768233595244
SV478_Edaphobaculum,-9.67429297287986
SV483_Hymenobacter,-8.974384845048686
SV484_Hymenobacter,-9.114824238708461
SV485_OLB12,-8.901851594627354
SV486_f__NS11_12_marine_group,-9.295133896370654
SV487_f__NS11_12_marine_group,-9.355424159277744
SV488_f__env.OPS_17,-8.442641250425837
SV490_f__env.OPS_17,-9.41664259301723
SV491_f__env.OPS_17,-8.698383241592126
SV493_Pedobacter,-8.188590279131663
SV495_f__Sphingobacteriaceae,-8.72378167798117
SV5_Sphingomonas,-18.4507392086029
SV500_Prevotella,-8.668685585441494
SV509_f__Flavobacteriaceae,-10.915021563408663
SV510_Flavobacterium,-8.80813681012916
SV511_Flavobacterium,-8.823517472342914
SV514_Chryseobacterium,-11.891397820786885
SV516_Chryseobacterium,-6.750911406247973
SV517_Chryseobacterium,-6.719410108955777
SV521_f__Vermiphilaceae,-9.438125558699506
SV528_o__Candidatus_Kaiserbact,-8.408927883790465
SV530_o__Candidatus_Adlerbacte,-10.23452555389051
SV536_f__Pirellulaceae,-10.47833737149912
SV537_Fimbriiglobus,-11.1713738959903
SV539_Fimbriiglobus,-7.674198650829263
SV54_Candidatus_Carsonella,-14.208263275134692
SV540_f__Gemmataceae,-9.007225582266512
SV541_Gemmata,-8.649746010659378
SV542_Gemmata,-9.162729614275133
SV543_Gemmata,-7.609794555957615
SV547_o__Chlamydiales,-10.090894411055366
SV548_f__cvE6,-10.473040977626074
SV551_d__Bacteria,-9.77655540562833
SV552_p__SAR324_clade(Marine_g,-10.113244133103896
SV554_Pajaroellobacter,-10.233170765500477
SV555_Pajaroellobacter,-10.200242545738966
SV556_P3OB_42,-11.098466124966764
SV560_Hyphomicrobium,-9.23737962220203
SV561_Pedomicrobium,-9.785889382633446
SV562_o__Rhizobiales,-9.336918814001256
SV565_c__Alphaproteobacteria,-9.093567089979743
SV566_f__Xanthobacteraceae,-9.121711465628795
SV567_f__Xanthobacteraceae,-8.76174021499689
SV568_f__Xanthobacteraceae,-9.522255878367913
SV569_f__Xanthobacteraceae,-9.065745559313012
