joint,values,hostplant_spp,psyllid_spp,signif
Olearia_sp-Powellia_MASSEY,14.86278684359877,Olearia_sp,Powellia_MASSEY,1
Plagianthus_sp-Powellia_PRICES_VALLEY,28.122671098946284,Plagianthus_sp,Powellia_PRICES_VALLEY,0
Casuarina_sp-Casuarinicola_sp,25.361884400294116,Casuarina_sp,Casuarinicola_sp,0
Schinus_molle-Calophya_schini,17.143040346082785,Schinus_molle,Calophya_schini,1
Fraxinus_excelsior-Psyllopsis_fraxini,18.69809353073356,Fraxinus_excelsior,Psyllopsis_fraxini,1
Fraxinus_excelsior-Psyllopsis_fraxinicola,18.69809353073356,Fraxinus_excelsior,Psyllopsis_fraxinicola,1
Ficus_macrophylla-Mycopsylla_fici,20.502505717316012,Ficus_macrophylla,Mycopsylla_fici,0
Eucalyptus_sp-Blastopsylla_occidentalis,21.428794156607182,Eucalyptus_sp,Blastopsylla_occidentalis,0
Eucalyptus_sp-Eucalyptolyma_maideni,21.428794156606955,Eucalyptus_sp,Eucalyptolyma_maideni,0
Eucalyptus_sp-Glycaspis_granulata,21.76665133482777,Eucalyptus_sp,Glycaspis_granulata,0
Kunzea_ericoides-Ctenarytaina_SHORT,16.266557268414886,Kunzea_ericoides,Ctenarytaina_SHORT,1
Leptospermum_scoparius-Ctenarytaina_pollicaris,13.3601119735672,Leptospermum_scoparius,Ctenarytaina_pollicaris,1
Leptospermum_scoparius-Ctenarytaina_sp_B,13.192808266888505,Leptospermum_scoparius,Ctenarytaina_sp_B,1
Fuchsia_excorticata-Ctenarytaina_sp_B,23.363306523049232,Fuchsia_excorticata,Ctenarytaina_sp_B,0
Kunzea_ericoides-Ctenarytaina_clavata_sp_A,9.646348449299069,Kunzea_ericoides,Ctenarytaina_clavata_sp_A,1
Kunzea_ericoides-Ctenarytaina_clavata_sp_B,9.646348449299012,Kunzea_ericoides,Ctenarytaina_clavata_sp_B,1
Olearia_paniculata-Ctenarytaina_sp_A,33.19155726563781,Olearia_paniculata,Ctenarytaina_sp_A,0
Fuchsia_excorticata-Ctenarytaina_fuchsia_A,12.485630237148598,Fuchsia_excorticata,Ctenarytaina_fuchsia_A,1
Fuchsia_excorticata-Ctenarytaina_fuchsia_B,12.485630237148712,Fuchsia_excorticata,Ctenarytaina_fuchsia_B,1
Eucalyptus_globulus-Ctenarytaina_eucalypti,9.944048197326424,Eucalyptus_globulus,Ctenarytaina_eucalypti,1
Eucalyptus_sp-Ctenarytaina_spatulata,18.60402695887251,Eucalyptus_sp,Ctenarytaina_spatulata,1
Eucalyptus_sp-Ctenarytaina_thysanura,18.604026958872282,Eucalyptus_sp,Ctenarytaina_thysanura,1
Lophostemon_confertus-Ctenarytaina_longicauda,9.851613676624709,Lophostemon_confertus,Ctenarytaina_longicauda,1
Eucalyptus_sp-Ctenarytaina_insularis,19.447152273985466,Eucalyptus_sp,Ctenarytaina_insularis,1
Olearia_odorata-Anomalopsylla_POLLEN_ISLAND,26.81252479593809,Olearia_odorata,Anomalopsylla_POLLEN_ISLAND,0
Olearia_paniculata-Anomalopsylla_insignita,30.372421184970335,Olearia_paniculata,Anomalopsylla_insignita,0
Plagianthus_sp-Anomalopsylla_insignita,28.12896703949582,Plagianthus_sp,Anomalopsylla_insignita,0
