Sample_Name,values
Acizzia_acaciae,2.621751243006643
Acizzia_acaciaebaileyanae,1.6170163762804686
Acizzia_albizziae,1.0604479236012139
Acizzia_dodonaeae,3.4239367363877133
Acizzia_errabunda,1.96199379011218
Acizzia_hakeae,0.6761063308276969
Acizzia_jucunda,0.8231480711295779
Acizzia_solanicola,-0.8285973637008097
Acizzia_uncatoides,0.37358269570782593
Anomalopsylla_insignita,2.7667912175432874
Anomalopsylla_POLLEN_ISLAND,-3.3144345505237314
Arytainilla_spartiophila,-4.6700442035181675
Atmetocranium_myersi,-4.0649825007427225
Bactericera_cockerelli,-7.921336335809012
Baeopelma_foersteri,4.0622868229459685
Blastopsylla_occidentalis,10.48912827020986
Calophya_schini,3.707731266138953
Casuarinicola_australis,0.4694874369290769
Ctenarytaina_clavata_sp_A,1.9132434492873165
Ctenarytaina_clavata_sp_B,4.084808970907838
Ctenarytaina_eucalypti,1.4664640259583042
Ctenarytaina_fuchsia_A,0.8321136655705118
Ctenarytaina_fuchsia_B,0.1449339319871187
Ctenarytaina_insularis,0.9356567044229418
Ctenarytaina_longicauda,2.010547373629399
Ctenarytaina_pollicaris,0.10279951322607565
Ctenarytaina_SHORT,1.6650234059369535
Ctenarytaina_sp_A,1.4318948341608646
Ctenarytaina_sp_B,4.21735241386084
Ctenarytaina_spatulata,3.412144711976543
Ctenarytaina_thysanura,3.74152108250449
Eucalyptolyma_maideni,3.886998114558798
Glycaspis_granulata,-2.1153018709765856
Mycopsylla_fici,4.7111571384323145
Psylla_apicalis,-5.492554070203419
Psylla_carmichaeliae_A,6.6855332444547
Psylla_carmichaeliae_C,1.4569251811341395
Psylla_carmichaeliae_E,0.2973087285959381
Psylla_frodobagginsi,-2.6097440333313315
Psyllopsis_fraxini,1.640996056694317
Psyllopsis_fraxinicola,-2.265090592065367
Trioza_acuta,-2.810479988534249
Trioza_acuta_B,2.1764060679249946
Trioza_adventicia,-3.748134558762196
Trioza_bifida,1.1889580911108018
Trioza_BRENDA_MAY,1.6545852300400246
Trioza_colorata,1.6571743840868238
Trioza_compressa,0.4564758262509055
Trioza_curta,1.736008955725948
Trioza_dacrydii,0.3484388971344412
Trioza_decurvata,2.9883842467947517
Trioza_discariae,1.088183662832763
Trioza_doryphora,2.708000970088661
Trioza_emarginata,0.4918974862598142
Trioza_falcata,-5.434917691400228
Trioza_fasciata,1.4659207855179988
Trioza_FORTROSE,-2.7879468799709772
Trioza_gourlayi,-0.7009814557305302
Trioza_hebicola,0.25176953474087904
Trioza_irregularis,2.9513194105379803
Trioza_MASSEY,-2.7550707186671906
Trioza_obscura,-2.442230117285993
Trioza_OMAHUTA,-0.8953559943858508
Trioza_panacis,-1.462929048870819
Trioza_PRICES_VALLEY,1.0325075363567295
Trioza_sp_A,0.866894574772018
Trioza_sp_B,2.3627717701372144
Trioza_sp_C,-2.473662227480945
Trioza_sp_D,1.0327911711593012
Trioza_subacuta,1.2809433164222805
Trioza_subvexa,0.21379026537292856
Trioza_vitreoradiata,0.8861306004563736
Triozid_sp,1.7177594240696825
