term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value,type
psyllid_genus,Psylla-Ctenarytaina,0,-20.98313253012052,-38.987175501622964,-2.979089558618078,0.017742705300993422,Richness
psyllid_genus,Trioza-Ctenarytaina,0,-10.027034969144886,-20.018695685692386,-0.035374252597383915,0.048976218943212024,Richness
psyllid_genus,Trioza-Psylla,0,10.956097560975635,-7.06474075262696,28.97693587457823,0.32418681262950255,Richness
psyllid_genus,Psylla-Ctenarytaina,0,-0.4107250952403849,-0.835472243881373,0.01402205340060314,0.060446406398341423,Shannon
psyllid_genus,Trioza-Ctenarytaina,0,-0.2655533951187812,-0.5012743054864799,-0.029832484751082494,0.02292317963525159,Shannon
psyllid_genus,Trioza-Psylla,0,0.14517170012160374,-0.27997168028126024,0.5703150805244677,0.6991353333741072,Shannon
psyllid_genus,Psylla-Ctenarytaina,0,-25349488260.76101,-43526121876.496994,-7172854645.025024,0.003378872656047305,Phylogenetic
psyllid_genus,Trioza-Ctenarytaina,0,-11478082462.559975,-21596799691.014595,-1359365234.1053543,0.021793517707224264,Phylogenetic
psyllid_genus,Trioza-Psylla,0,13871405798.201035,-4339542806.766518,32082354403.168587,0.1724071406030886,Phylogenetic
genus_geo,Ctenarytaina_NZ-Ctenarytaina_AUS,0,20.180116959064346,5.130223263483845,35.23001065464484,0.0035328445163699262,Richness
genus_geo,Psylla-Ctenarytaina_AUS,0,-10.042105263157875,-30.872281687595546,10.788071161279795,0.5956793961562806,Richness
genus_geo,Trioza-Ctenarytaina_AUS,0,0.9139922978177246,-12.49154853528618,14.319533130921629,0.9980287917786551,Richness
genus_geo,Psylla-Ctenarytaina_NZ,0,-30.22222222222222,-50.58871183751554,-9.855732606928903,9.463726783885962e-4,Richness
genus_geo,Trioza-Ctenarytaina_NZ,0,-19.26612466124662,-31.93917379729386,-6.59307552519938,6.654061779103326e-4,Richness
genus_geo,Trioza-Psylla,0,10.9560975609756,-8.227309957752478,30.139505079703678,0.4509296546631061,Richness
genus_geo,Ctenarytaina_NZ-Ctenarytaina_AUS,0,20.180116959064346,5.130223263483845,35.23001065464484,0.0035328445163699262,Shannon
genus_geo,Psylla-Ctenarytaina_AUS,0,-10.042105263157875,-30.872281687595546,10.788071161279795,0.5956793961562806,Shannon
genus_geo,Trioza-Ctenarytaina_AUS,0,0.9139922978177246,-12.49154853528618,14.319533130921629,0.9980287917786551,Shannon
genus_geo,Psylla-Ctenarytaina_NZ,0,-30.22222222222222,-50.58871183751554,-9.855732606928903,9.463726783885962e-4,Shannon
genus_geo,Trioza-Ctenarytaina_NZ,0,-19.26612466124662,-31.93917379729386,-6.59307552519938,6.654061779103326e-4,Shannon
genus_geo,Trioza-Psylla,0,10.9560975609756,-8.227309957752478,30.139505079703678,0.4509296546631061,Shannon
genus_geo,Ctenarytaina_NZ-Ctenarytaina_AUS,0,18142311174.132248,2842455060.648552,33442167287.615944,0.012905968521214839,Phylogenetic
genus_geo,Psylla-Ctenarytaina_AUS,0,-15513295455.508545,-36689438527.26756,5662847616.250469,0.2317095476034089,Phylogenetic
genus_geo,Trioza-Ctenarytaina_AUS,0,-1641889657.307602,-15296695474.858246,12012916160.243042,0.9894526869588594,Phylogenetic
genus_geo,Psylla-Ctenarytaina_NZ,0,-33655606629.640793,-54360361557.06279,-12950851702.218792,2.31026810512458e-4,Phylogenetic
genus_geo,Trioza-Ctenarytaina_NZ,0,-19784200831.43985,-32695884034.028633,-6872517628.851067,5.919210459939261e-4,Phylogenetic
genus_geo,Trioza-Psylla,0,13871405798.200943,-5649224351.1133,33392035947.515186,0.256741654841111,Phylogenetic
