term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value,type
psyllid_genus,Psylla-Ctenarytaina,0,-37.734136546184764,-63.071085647204754,-12.397187445164779,0.0015835661857649397,Richness
psyllid_genus,Trioza-Ctenarytaina,0,-19.440640611225398,-33.50182672428536,-5.379454498165439,0.003707980663630983,Richness
psyllid_genus,Trioza-Psylla,0,18.293495934959367,-7.067089119862736,43.65408098978147,0.2061732979630918,Richness
psyllid_genus,Psylla-Ctenarytaina,0,-0.4107250952403849,-0.835472243881373,0.01402205340060314,0.060446406398341423,Shannon
psyllid_genus,Trioza-Ctenarytaina,0,-0.2655533951187812,-0.5012743054864799,-0.029832484751082494,0.02292317963525159,Shannon
psyllid_genus,Trioza-Psylla,0,0.14517170012160374,-0.27997168028126024,0.5703150805244677,0.6991353333741072,Shannon
psyllid_genus,Psylla-Ctenarytaina,0,-42554330370.2201,-68099157207.85898,-17009503532.581226,3.4673898702686223e-4,Phylogenetic
psyllid_genus,Trioza-Ctenarytaina,0,-19595599900.017838,-33772151423.952866,-5419048376.082809,0.0037171714359470753,Phylogenetic
psyllid_genus,Trioza-Psylla,0,22958730470.202263,-2609926243.10989,48527387183.51442,0.0882297574610248,Phylogenetic
genus_geo,Ctenarytaina_NZ-Ctenarytaina_AUS,0,21.0152046783626,-0.49113918967537984,42.52154854640058,0.05813677129851191,Richness
genus_geo,Psylla-Ctenarytaina_AUS,0,-26.340350877192968,-56.106736346573854,3.426034592187918,0.1030422087544055,Richness
genus_geo,Trioza-Ctenarytaina_AUS,0,-8.046854942233644,-27.203413568187216,11.109703683719928,0.6964029436247947,Richness
genus_geo,Psylla-Ctenarytaina_NZ,0,-47.35555555555557,-76.45933116427942,-18.251779946831718,2.268288660867146e-4,Richness
genus_geo,Trioza-Ctenarytaina_NZ,0,-29.062059620596244,-47.17188538344598,-10.952233857746506,2.854740193891647e-4,Richness
genus_geo,Trioza-Psylla,0,18.293495934959324,-9.119651759208356,45.706643629127,0.3108291184461883,Richness
genus_geo,Ctenarytaina_NZ-Ctenarytaina_AUS,0,21.0152046783626,-0.49113918967537984,42.52154854640058,0.05813677129851191,Shannon
genus_geo,Psylla-Ctenarytaina_AUS,0,-26.340350877192968,-56.106736346573854,3.426034592187918,0.1030422087544055,Shannon
genus_geo,Trioza-Ctenarytaina_AUS,0,-8.046854942233644,-27.203413568187216,11.109703683719928,0.6964029436247947,Shannon
genus_geo,Psylla-Ctenarytaina_NZ,0,-47.35555555555557,-76.45933116427942,-18.251779946831718,2.268288660867146e-4,Shannon
genus_geo,Trioza-Ctenarytaina_NZ,0,-29.062059620596244,-47.17188538344598,-10.952233857746506,2.854740193891647e-4,Shannon
genus_geo,Trioza-Psylla,0,18.293495934959324,-9.119651759208356,45.706643629127,0.3108291184461883,Shannon
genus_geo,Ctenarytaina_NZ-Ctenarytaina_AUS,0,24546648766.067337,2999691241.2493515,46093606290.88532,0.01850119562090058,Phylogenetic
genus_geo,Psylla-Ctenarytaina_AUS,0,-29245906340.424515,-59068504142.801315,576691461.952282,0.05682204438926841,Phylogenetic
genus_geo,Trioza-Ctenarytaina_AUS,0,-6287175870.2222595,-25479910700.829414,12905558960.384895,0.8305475690581343,Phylogenetic
genus_geo,Psylla-Ctenarytaina_NZ,0,-53792555106.49185,-82951291742.56781,-24633818470.415894,2.130788745102752e-5,Phylogenetic
genus_geo,Trioza-Ctenarytaina_NZ,0,-30833824636.289597,-48977849901.03474,-12689799371.544456,1.0606865533746568e-4,Phylogenetic
genus_geo,Trioza-Psylla,0,22958730470.202255,-4506185584.89846,50423646525.30297,0.1362326205809078,Phylogenetic
