term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value,type
psyllid_genus,Psylla-Ctenarytaina,0,-13.189558232931741,-25.026199471839377,-1.3529169940241061,0.02481090218913362,Richness
psyllid_genus,Trioza-Ctenarytaina,0,-11.600940346752889,-18.169892857578297,-5.031987835927479,1.381342901609628e-4,Richness
psyllid_genus,Trioza-Psylla,0,1.5886178861788522,-10.259065341422035,13.43630111377974,0.946155923801272,Richness
psyllid_genus,Psylla-Ctenarytaina,0,-0.4107250952403849,-0.835472243881373,0.01402205340060314,0.060446406398341423,Shannon
psyllid_genus,Trioza-Ctenarytaina,0,-0.2655533951187812,-0.5012743054864799,-0.029832484751082494,0.02292317963525159,Shannon
psyllid_genus,Trioza-Psylla,0,0.14517170012160374,-0.27997168028126024,0.5703150805244677,0.6991353333741072,Shannon
psyllid_genus,Psylla-Ctenarytaina,0,-20023581104.29979,-35921997217.99948,-4125164990.6000977,0.0092634807021994,Phylogenetic
psyllid_genus,Trioza-Ctenarytaina,0,-15950084138.728699,-24773190148.307545,-7126978129.149853,9.300155945968225e-5,Phylogenetic
psyllid_genus,Trioza-Psylla,0,4073496965.5710907,-11839750224.565308,19986744155.70749,0.8175535655749595,Phylogenetic
genus_geo,Ctenarytaina_NZ-Ctenarytaina_AUS,0,9.390643274853812,-0.6720479617698771,19.4533345114775,0.07692809464960071,Richness
genus_geo,Psylla-Ctenarytaina_AUS,0,-8.098245614035086,-22.0257615156967,5.829270287626528,0.4347945979923251,Richness
genus_geo,Trioza-Ctenarytaina_AUS,0,-6.5096277278562305,-15.472868332212707,2.4536128765002463,0.23876545239966085,Richness
genus_geo,Psylla-Ctenarytaina_NZ,0,-17.488888888888898,-31.106373551440495,-3.871404226337301,0.005761758873615297,Richness
genus_geo,Trioza-Ctenarytaina_NZ,0,-15.900271002710042,-24.373751484505906,-7.426790520914178,1.4833225829291585e-5,Richness
genus_geo,Trioza-Psylla,0,1.5886178861788558,-11.237831963362108,14.41506773571982,0.98850119199225694,Richness
genus_geo,Ctenarytaina_NZ-Ctenarytaina_AUS,0,9.390643274853812,-0.6720479617698771,19.4533345114775,0.07692809464960071,Shannon
genus_geo,Psylla-Ctenarytaina_AUS,0,-8.098245614035086,-22.0257615156967,5.829270287626528,0.4347945979923251,Shannon
genus_geo,Trioza-Ctenarytaina_AUS,0,-6.5096277278562305,-15.472868332212707,2.4536128765002463,0.23876545239966085,Shannon
genus_geo,Psylla-Ctenarytaina_NZ,0,-17.488888888888898,-31.106373551440495,-3.871404226337301,0.005761758873615297,Shannon
genus_geo,Trioza-Ctenarytaina_NZ,0,-15.900271002710042,-24.373751484505906,-7.426790520914178,1.4833225829291585e-5,Shannon
genus_geo,Trioza-Psylla,0,1.5886178861788558,-11.237831963362108,14.41506773571982,0.98850119199225694,Shannon
genus_geo,Ctenarytaina_NZ-Ctenarytaina_AUS,0,17208677461.00997,3888154407.991375,30529200514.02857,0.005401464599651851,Phylogenetic
genus_geo,Psylla-Ctenarytaina_AUS,0,-10693575251.944962,-29130173600.918484,7743023097.028561,0.43702686878544705,Phylogenetic
genus_geo,Trioza-Ctenarytaina_AUS,0,-6620078286.3738785,-18485199683.0772,5245043110.329445,0.47179504133319305,Phylogenetic
genus_geo,Psylla-Ctenarytaina_NZ,0,-27902252712.954933,-45928446114.5233,-9876059311.38657,5.066568497344992e-4,Phylogenetic
genus_geo,Trioza-Ctenarytaina_NZ,0,-23828755747.38385,-35045555452.64206,-12611956042.125645,7.501005396814975e-7,Phylogenetic
genus_geo,Trioza-Psylla,0,4073496965.571083,-12905561309.352587,21052555240.49475,0.9248321223125313,Phylogenetic
