measure,stat.I,stat.K,stat.Lambda,pvalue.I,pvalue.K,pvalue.Lambda
alpha,0.028989482348901183,0.756937741072199,0.9047422558973037,0.011,0.003,0.001
pd,0.027111965437453117,0.5571916632938747,0.8917087746724824,0.01,0.002,0.001
Shannon,0.003318047315325268,0.22714738427495682,0.8214576369549453,0.107,0.015,0.001
psyllid_genus,NA,NA,1.0041760807460767,0.001,0.001,NA
genus_geo,NA,NA,1.0041760807460767,0.001,0.001,NA
random,-0.03798059288940534,0.048433962875228186,0.33020379521383114,0.982,0.347,0.001
bm,0.038801340955986044,0.17065237600186065,1.0036369692324503,0.006,0.034,0.001
